Nicolás Vallejo,1127620
-26000,El Corral1,12/11/18 18:14:34
1000000,Salario2,13/11/18 12:14:34
-320000,Addidas3,15/11/18 19:10:14
-15000,Silicon4,16/11/18 11:10:17
-26000,El MERCADO5,12/11/18 18:14:34
1000000,Salario6,13/11/18 12:14:34
-320000,VIAJE7,15/11/18 19:10:14
-15000,Silicon8,16/11/18 11:10:17
-26000,gorrra9 ,10/11/18 18:14:34
1000000,Salario10,13/11/18 12:14:34
-320000,Addidas11,15/11/18 19:10:14
-15000,Silicon12,16/11/18 11:10:17
-26000,concierto13,12/11/18 18:14:34
1000000,Salario14,13/11/18 12:14:34
320000,Addidas15,15/11/18 19:10:14
-15000,Silicon16,16/11/18 11:10:17
-26000,billetera17,12/11/18 18:14:34
-10000,Salario18,13/11/18 12:14:34
-320000,Addidas19,15/11/18 19:10:14
-15000,Silicon20,16/11/18 11:10:17
-26000,El Corral21,12/11/18 18:14:34
1000000,Salario22,13/11/18 12:14:34
-320000,Addidas23,15/11/18 19:10:14
-15000,Silicon24,16/11/18 11:10:17
-26000,El MERCADO25,12/11/18 18:14:34
1000000,Salario26,13/11/18 12:14:34
-320000,VIAJE27,15/11/18 19:10:14
-15000,Silicon28,16/11/18 11:10:17
-26000,gorrra29 ,10/11/18 18:14:34
1000000,Salario30,13/11/18 12:14:34
-320000,Addidas31,15/11/18 19:10:14
-15000,Silicon32,16/11/18 11:10:17
-26000,concierto33,12/11/18 18:14:34
1000000,Salario34,13/11/18 12:14:34
320000,Addidas35,15/11/18 19:10:14
-15000,Silicon36,16/11/18 11:10:17
-26000,billetera37,12/11/18 18:14:34
-10000,Salario38,13/11/18 12:14:34
-320000,Addidas39,15/11/18 19:10:14
-15000,Silicon40,16/11/18 11:10:17
2000,Mayonesa,18/11/18 12:06:38
2000,Cena,18/11/18 12:07:00
40,concepto,18/11/18 12:09:34
-4500,gaseosa,18/11/18 12:17:11
-3500,424,18/11/18 12:20:44
3500,424,18/11/18 12:20:44
-3500,424,18/11/18 12:20:45
3500,424,18/11/18 12:20:46
-3500,424,18/11/18 12:21:01
-2000,quatro,18/11/18 13:59:03
-2000,quatro,18/11/18 13:59:14
2000,quatro,18/11/18 13:59:15
-2000000,Carro,18/11/18 14:25:07
20000,Carro,18/11/18 14:25:24
100000,hamburfguesa,18/11/18 18:05:33
-100000,hamburfguesa,18/11/18 18:05:42
-100000,hamburfguesa,18/11/18 18:05:42
100000,hamburfguesa,18/11/18 18:05:44
-664000,ropa,18/11/18 18:45:17
-664000,ropa,18/11/18 18:45:20
-664000,ropa,18/11/18 18:45:23
-100000000,hola,18/11/18 18:55:27
100000000,hola,18/11/18 18:55:32
20000,concepto,18/11/18 18:57:58
-20000,concepto,18/11/18 18:57:59
-20000,concepto,18/11/18 18:58:00
20000,concepto,18/11/18 18:58:01
20000,concepto,18/11/18 18:58:01
-20000,concepto,18/11/18 18:58:08
20000,concepto,18/11/18 18:58:10
-190000,rumbas,18/11/18 19:20:02
-190000,rumbas,18/11/18 19:20:10
190000,rumbas,18/11/18 19:20:12
190000,rumbas,18/11/18 19:20:13
-190000,rumbas,18/11/18 19:20:14
-190000,rumbas,18/11/18 19:20:14
-400000,viajes,18/11/18 19:21:22
-40000,viajes2,18/11/18 19:21:41
40000,viajes2,18/11/18 19:21:46
-40000,viajes2,18/11/18 19:21:48
