Victoria García,6065672
-25000,EL Corral,18/11/18 19:32:44
1000000,Salario,18/11/18 19:33:10
-350000,Adidas,18/11/18 19:33:35
-25000000,Premio,18/11/18 19:33:55
-50000,Cine,18/11/18 19:34:20
-200000,Fiesta,18/11/18 19:34:41
-2000000,Viaje,18/11/18 19:34:54
-80000,Codensa,18/11/18 19:35:06
-80000,Codensa,18/11/18 19:38:31
-80000,Codensa,18/11/18 19:38:32
80000,Codensa,18/11/18 19:38:33
-80000,Codensa,18/11/18 19:38:34
-80000,Codensa,18/11/18 19:38:35
-80000,Codensa,18/11/18 19:38:35
-27000000,Codensa,18/11/18 19:38:43
27000000,Codensa,18/11/18 19:38:55
27000000,Codensa,18/11/18 19:38:55
-27000000,Codensa,18/11/18 19:38:58
-27000000,Codensa,18/11/18 19:38:58
